variables,units,values,description
aeroelastic.airfoils_cm,,"[[[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  ...

  [[-2.77555756e-17 -2.77555756e-17 -2.77555756e-17]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]]


 [[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 3.77966092e-03  3.77966092e-03  3.77966092e-03]]

  [[ 7.55932184e-03  7.55932184e-03  7.55932184e-03]]

  ...

  [[-9.13529113e-03 -9.13529113e-03 -9.13529113e-03]]

  [[-4.56764557e-03 -4.56764557e-03 -4.56764557e-03]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]]


 [[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 3.51557992e-02  3.51557992e-02  3.51557992e-02]]

  [[ 7.03115984e-02  7.03115984e-02  7.03115984e-02]]

  ...

  [[-8.49630101e-02 -8.49630101e-02 -8.49630101e-02]]

  [[-4.24815051e-02 -4.24815051e-02 -4.24815051e-02]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]]


 ...


 [[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 1.20000000e-01  1.20000000e-01  1.20000000e-01]]

  [[ 2.40000000e-01  2.40000000e-01  2.40000000e-01]]

  ...

  [[-3.00000000e-01 -3.00000000e-01 -3.00000000e-01]]

  [[-1.50000000e-01 -1.50000000e-01 -1.50000000e-01]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]]


 [[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 1.20000000e-01  1.20000000e-01  1.20000000e-01]]

  [[ 2.40000000e-01  2.40000000e-01  2.40000000e-01]]

  ...

  [[-3.00000000e-01 -3.00000000e-01 -3.00000000e-01]]

  [[-1.50000000e-01 -1.50000000e-01 -1.50000000e-01]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]]


 [[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 1.20000000e-01  1.20000000e-01  1.20000000e-01]]

  [[ 2.40000000e-01  2.40000000e-01  2.40000000e-01]]

  ...

  [[-3.00000000e-01 -3.00000000e-01 -3.00000000e-01]]

  [[-1.50000000e-01 -1.50000000e-01 -1.50000000e-01]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]]]","moment coefficients, spanwise"
aeroelastic.airfoils_aoa,deg,"[-180.         -177.         -174.         -171.         -168.
 -165.         -162.         -159.         -156.         -153.
 -150.         -147.         -144.         -141.         -138.
 -135.         -132.         -129.         -126.         -123.
 -120.         -117.         -114.         -111.         -108.
 -105.         -102.          -99.          -96.          -93.
  -90.          -87.          -84.          -81.          -78.
  -75.          -72.          -69.          -66.          -63.
  -60.          -57.          -54.          -51.          -48.
  -45.          -42.          -39.          -36.          -33.
  -30.          -29.39393939  -28.78787879  -28.18181818  -27.57575758
  -26.96969697  -26.36363636  -25.75757576  -25.15151515  -24.54545455
  -23.93939394  -23.33333333  -22.72727273  -22.12121212  -21.51515152
  -20.90909091  -20.3030303   -19.6969697   -19.09090909  -18.48484848
  -17.87878788  -17.27272727  -16.66666667  -16.06060606  -15.45454545
  -14.84848485  -14.24242424  -13.63636364  -13.03030303  -12.42424242
  -11.81818182  -11.21212121  -10.60606061  -10.           -9.39393939
   -8.78787879   -8.18181818   -7.57575758   -6.96969697   -6.36363636
   -5.75757576   -5.15151515   -4.54545455   -3.93939394   -3.33333333
   -2.72727273   -2.12121212   -1.51515152   -0.90909091   -0.3030303
    0.3030303     0.90909091    1.51515152    2.12121212    2.72727273
    3.33333333    3.93939394    4.54545455    5.15151515    5.75757576
    6.36363636    6.96969697    7.57575758    8.18181818    8.78787879
    9.39393939   10.           10.60606061   11.21212121   11.81818182
   12.42424242   13.03030303   13.63636364   14.24242424   14.84848485
   15.45454545   16.06060606   16.66666667   17.27272727   17.87878788
   18.48484848   19.09090909   19.6969697    20.3030303    20.90909091
   21.51515152   22.12121212   22.72727273   23.33333333   23.93939394
   24.54545455   25.15151515   25.75757576   26.36363636   26.96969697
   27.57575758   28.18181818   28.78787879   29.39393939   30.
   33.           36.           39.           42.           45.
   48.           51.           54.           57.           60.
   63.           66.           69.           72.           75.
   78.           81.           84.           87.           90.
   93.           96.           99.          102.          105.
  108.          111.          114.          117.          120.
  123.          126.          129.          132.          135.
  138.          141.          144.          147.          150.
  153.          156.          159.          162.          165.
  168.          171.          174.          177.          180.        ]",angle of attack grid for polars
aeroelastic.airfoils_Re,,[3000000.],Reynolds numbers of polars
aeroelastic.airfoils_Ctrl,,"[[[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  0.  0. ]]]",Airfoil control paremeter (i.e. flap angle)
aeroelastic.coord_xy_interp,,"[[[ 1.00000000e+00 -5.22802288e-16]
  [ 9.99429684e-01 -2.22597407e-02]
  [ 9.98063018e-01 -4.44580349e-02]
  ...
  [ 9.98120489e-01  4.38394581e-02]
  [ 9.99443038e-01  2.19496514e-02]
  [ 1.00000000e+00 -5.26271735e-16]]

 [[ 1.00000000e+00 -4.63811846e-04]
  [ 9.98467173e-01 -2.21760738e-02]
  [ 9.96201019e-01 -4.43513952e-02]
  ...
  [ 9.96776877e-01  4.39179785e-02]
  [ 9.98774657e-01  2.22119245e-02]
  [ 1.00000000e+00  3.03878429e-04]]

 [[ 1.00000000e+00 -3.84926541e-03]
  [ 9.90631439e-01 -2.12435866e-02]
  [ 9.80995553e-01 -4.24457781e-02]
  ...
  [ 9.85613808e-01  4.43560536e-02]
  [ 9.93218520e-01  2.41263074e-02]
  [ 1.00000000e+00  2.83048459e-03]]

 ...

 [[ 1.00000000e+00  2.99243424e-04]
  [ 9.76715850e-01  2.78508494e-03]
  [ 9.52832571e-01  4.62553820e-03]
  ...
  [ 9.52575171e-01  9.64309571e-03]
  [ 9.76267770e-01  4.94496385e-03]
  [ 1.00000000e+00  2.99243424e-04]]

 [[ 1.00000000e+00  1.59576514e-04]
  [ 9.76700964e-01  2.86385003e-03]
  [ 9.52886173e-01  4.80915517e-03]
  ...
  [ 9.52680732e-01  1.01497273e-02]
  [ 9.76327058e-01  5.14403817e-03]
  [ 1.00000000e+00  1.59576514e-04]]

 [[ 1.00000000e+00  1.76276899e-06]
  [ 9.76685164e-01  3.14692752e-03]
  [ 9.53182640e-01  5.22846152e-03]
  ...
  [ 9.52998460e-01  1.22336784e-02]
  [ 9.76506117e-01  6.17134718e-03]
  [ 1.00000000e+00  1.76276899e-06]]]",3D array of the non-dimensional x and y airfoil coordinates of the airfoils interpolated along span for n_span stations. The leading edge is place at x=0 and y=0.
aeroelastic.transition_node,m,[0. 0. 0.],
aeroelastic.platform_nodes,m,"[[-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]
 [-9999. -9999. -9999.]]",
aeroelastic.platform_elem_n1,,"[-9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.]",
aeroelastic.platform_elem_n2,,"[-9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.]",
aeroelastic.platform_elem_D,m,"[-9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.]",
aeroelastic.platform_elem_t,m,"[-9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.]",
aeroelastic.platform_elem_rho,kg/m**3,"[-9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.]",
aeroelastic.platform_elem_E,Pa,"[-9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.]",
